Zeit [ms]	Uin A [V]	Uin B [V]
8.160000000	-0.000258881	-0.784920436
8.180000000	0.000714644	-0.796602745
8.200000000	0.001039152	-0.808609562
8.220000000	-0.000258881	-0.819967362
8.240000000	0.001039152	-0.832298687
8.260000000	0.000714644	-0.844630013
8.280000000	0.001688169	-0.856312322
8.300000000	-0.000258881	-0.868319140
8.320000000	0.000390136	-0.880650466
8.340000000	0.000714644	-0.892332775
8.360000000	0.000714644	-0.904015084
8.380000000	0.000714644	-0.915372885
8.400000000	0.001039152	-0.927704211
8.420000000	0.000390136	-0.939711029
8.440000000	0.000714644	-0.951068830
8.460000000	-0.000258881	-0.962751140
8.480000000	0.000714644	-0.973459924
8.500000000	0.000390136	-0.985791251
8.520000000	0.000714644	-0.996824543
8.540000000	0.000714644	-1.008506853
8.560000000	0.000390136	-1.019864655
8.580000000	0.000390136	-1.031546965
8.600000000	-0.000258881	-1.042255749
8.620000000	-0.000583390	-1.053938060
8.640000000	0.000714644	-1.064971353
8.660000000	0.000714644	-1.076653663
8.680000000	-0.000258881	-1.087686957
8.700000000	-0.000258881	-1.098720250
8.720000000	0.000065627	-1.110078052
8.740000000	0.000714644	-1.120786837
8.760000000	0.000390136	-1.131820131
8.780000000	-0.000258881	-1.142853425
8.800000000	0.001363661	-1.153886719
8.820000000	0.000065627	-1.164595504
8.840000000	0.000390136	-1.175304290
8.860000000	0.001363661	-1.186662092
8.880000000	0.000714644	-1.197046369
8.900000000	0.001039152	-1.207430646
8.920000000	0.000714644	-1.218788450
8.940000000	0.000714644	-1.229497235
8.960000000	0.001039152	-1.239232495
8.980000000	0.001039152	-1.250265790
9.000000000	0.000065627	-1.260001050
9.020000000	0.000390136	-1.270709836
9.040000000	0.000065627	-1.282067640
9.060000000	-0.000258881	-1.291802900
9.080000000	0.001039152	-1.301213652
9.100000000	0.000065627	-1.311922439
9.120000000	0.001688169	-1.321657699
9.140000000	-0.000258881	-1.332366486
9.160000000	0.000714644	-1.341777238
9.180000000	0.000714644	-1.352161516
9.200000000	0.001039152	-1.362545795
9.220000000	0.000714644	-1.372281056
9.240000000	-0.000258881	-1.381691808
9.260000000	-0.000258881	-1.391751578
9.280000000	0.000390136	-1.400837822
9.300000000	0.000390136	-1.411222101
9.320000000	0.001363661	-1.420957362
9.340000000	0.000714644	-1.430043606
9.360000000	0.001039152	-1.439778868
9.380000000	0.001039152	-1.449189620
9.400000000	0.001688169	-1.458600373
9.420000000	0.000390136	-1.467686618
9.440000000	0.000065627	-1.477746388
9.460000000	0.000065627	-1.486508124
9.480000000	0.000065627	-1.495594369
9.500000000	0.000390136	-1.505005122
9.520000000	0.000714644	-1.513766858
9.540000000	0.001039152	-1.522853103
9.560000000	0.002661695	-1.531614839
9.580000000	-0.000258881	-1.540701084
9.600000000	0.000390136	-1.549462820
9.620000000	0.000390136	-1.558224556
9.640000000	0.000714644	-1.566661784
9.660000000	0.000390136	-1.575099012
9.680000000	0.000714644	-1.584185257
9.700000000	-0.000258881	-1.592946994
9.720000000	0.000390136	-1.600410695
9.740000000	0.000065627	-1.609172432
9.760000000	-0.000258881	-1.617609660
9.780000000	0.000390136	-1.625722379
9.800000000	0.001039152	-1.633835099
9.820000000	-0.000258881	-1.642596836
9.840000000	-0.000258881	-1.650385046
9.860000000	0.000390136	-1.658497766
9.880000000	0.000714644	-1.666285977
9.900000000	0.002337186	-1.673749679
9.920000000	0.001363661	-1.681862399
9.940000000	0.001039152	-1.689975118
9.960000000	0.000714644	-1.697114312
9.980000000	0.000065627	-1.704902523
10.000000000	0.000390136	-1.712690734
10.020000000	0.000714644	-1.719505419
10.040000000	0.000714644	-1.727293630
10.060000000	0.001363661	-1.734757333
10.080000000	0.000390136	-1.741572018
10.100000000	-0.000258881	-1.748711212
10.120000000	0.000390136	-1.756174914
10.140000000	0.000714644	-1.763314108
10.160000000	0.000714644	-1.770453302
10.180000000	0.000714644	-1.777267988
10.200000000	0.000065627	-1.784407182
10.220000000	0.000714644	-1.790572849
10.240000000	0.000714644	-1.797712043
10.260000000	0.001039152	-1.804202220
10.280000000	0.001039152	-1.810692397
10.300000000	0.001039152	-1.816858064
10.320000000	0.001039152	-1.823348241
10.340000000	0.001039152	-1.830811944
10.360000000	0.000390136	-1.836004086
10.380000000	0.001039152	-1.843143280
10.400000000	0.000390136	-1.849308948
10.420000000	0.000390136	-1.855150108
10.440000000	0.000390136	-1.860666758
10.460000000	-0.000258881	-1.867481444
10.480000000	0.000390136	-1.872998094
10.500000000	0.000390136	-1.878514745
10.520000000	0.001039152	-1.884355904
10.540000000	-0.001232407	-1.890197064
10.560000000	0.000390136	-1.895389205
10.580000000	0.000714644	-1.900905856
10.600000000	-0.000258881	-1.907071524
10.620000000	0.000390136	-1.912263666
10.640000000	0.000065627	-1.916806790
10.660000000	0.000390136	-1.921349914
10.680000000	0.001363661	-1.927191074
10.700000000	0.000065627	-1.932383216
10.720000000	0.000065627	-1.937575358
10.740000000	0.001363661	-1.942442991
10.760000000	-0.000583390	-1.946661606
10.780000000	-0.000583390	-1.951853748
10.800000000	-0.000258881	-1.957045891
10.820000000	0.000390136	-1.960939997
10.840000000	0.000714644	-1.965483121
10.860000000	0.000714644	-1.970026246
10.880000000	0.000714644	-1.974244861
10.900000000	-0.000258881	-1.978787986
10.920000000	-0.000258881	-1.983006601
10.940000000	-0.000258881	-1.987225217
10.960000000	0.000714644	-1.991443832
10.980000000	0.000390136	-1.995337939
11.000000000	0.000065627	-1.999232046
11.020000000	-0.000258881	-2.003126153
11.040000000	0.000065627	-2.007020259
11.060000000	0.000714644	-2.010265348
11.080000000	0.000390136	-2.014159455
11.100000000	0.000065627	-2.018053562
11.120000000	0.001363661	-2.021298651
11.140000000	0.001039152	-2.024868249
11.160000000	0.000065627	-2.027788829
11.180000000	0.000065627	-2.031033918
11.200000000	0.001039152	-2.034279007
11.220000000	0.000390136	-2.036875078
11.240000000	0.000390136	-2.040120168
11.260000000	0.000714644	-2.043365257
11.280000000	0.000065627	-2.045636819
11.300000000	0.001363661	-2.048557399
11.320000000	0.000714644	-2.051153471
11.340000000	0.000065627	-2.053425033
11.360000000	0.000714644	-2.056994631
11.380000000	0.000390136	-2.058617176
11.400000000	0.001363661	-2.061213247
11.420000000	0.000714644	-2.063809318
11.440000000	0.000714644	-2.065756372
11.460000000	0.001363661	-2.067378916
11.480000000	-0.000258881	-2.069325970
11.500000000	-0.000583390	-2.071273023
11.520000000	0.000065627	-2.073544586
11.540000000	0.000390136	-2.075167130
11.560000000	0.001039152	-2.077438693
11.580000000	0.000390136	-2.078412220
11.600000000	0.001363661	-2.080359273
11.620000000	-0.001232407	-2.081657309
11.640000000	-0.000258881	-2.083604362
11.660000000	0.000390136	-2.084253380
11.680000000	0.000390136	-2.085551416
11.700000000	0.000390136	-2.086849452
11.720000000	0.000065627	-2.087498470
11.740000000	0.000714644	-2.089445523
11.760000000	0.000390136	-2.089121014
11.780000000	0.001039152	-2.090094541
11.800000000	0.000065627	-2.091717086
11.820000000	0.000714644	-2.092041594
11.840000000	0.000714644	-2.092366103
11.860000000	0.001039152	-2.092690612
11.880000000	-0.000258881	-2.093339630
11.900000000	0.000390136	-2.093339630
11.920000000	0.000390136	-2.094313157
11.940000000	0.000390136	-2.094313157
11.960000000	0.000390136	-2.093988648
11.980000000	0.000714644	-2.094313157
12.000000000	0.001363661	-2.094637666
12.020000000	0.000065627	-2.093988648
12.040000000	0.001363661	-2.093988648
12.060000000	0.000065627	-2.093664139
12.080000000	0.000065627	-2.093015121
12.100000000	0.000065627	-2.093015121
12.120000000	0.000714644	-2.092041594
12.140000000	0.000390136	-2.091392577
12.160000000	-0.000583390	-2.090743559
12.180000000	0.000390136	-2.090094541
12.200000000	0.000065627	-2.088796505
12.220000000	0.000714644	-2.088471996
12.240000000	0.000390136	-2.087173961
12.260000000	-0.000258881	-2.086200434
12.280000000	0.001363661	-2.084902398
12.300000000	0.000714644	-2.083279853
12.320000000	0.000390136	-2.082630836
12.340000000	0.000065627	-2.080034764
12.360000000	0.000714644	-2.079385746
12.380000000	0.000065627	-2.078087711
12.400000000	0.000390136	-2.075491639
12.420000000	0.001039152	-2.073869095
12.440000000	0.000714644	-2.071922041
12.460000000	-0.000258881	-2.069974988
12.480000000	0.000714644	-2.068352443
12.500000000	0.000065627	-2.066080881
12.520000000	0.000714644	-2.064458336
12.540000000	0.000390136	-2.061537756
12.560000000	0.000390136	-2.059266193
12.580000000	-0.000258881	-2.056670122
12.600000000	0.000714644	-2.054074051
12.620000000	0.000714644	-2.051477979
12.640000000	0.001039152	-2.049530926
12.660000000	0.000390136	-2.046285837
12.680000000	0.000065627	-2.044014274
12.700000000	0.000390136	-2.041093694
12.720000000	0.000065627	-2.037848605
12.740000000	0.000390136	-2.034603516
12.760000000	0.000065627	-2.031682936
